sample_ID,plate_number,n,meanvol,blank,pathlength,632,665,chla_ugml,chlc2_ugml,chla_ug,chlc2_ug,standard_area_cm2,avg_standard_area_pixels,avg_sa_fragment_pixels,sample_area_cm2,chla_ug_cm2,chlc2_ug_cm2,treatment,species
PSTR110_2,5,3,5,0.07475,0.6493,0.039401406643051515,0.03170080599620105,0.29768655988500453,1.0754186174854978,3.870080081708327,13.981001267362167,4.237,56810.66667,24502,1.827385245,2.1178238646160934,7.650823112212535,Transplant to OS,PSTR
PSTR117_2,5,3,5,0.07475,0.6493,0.027593818984547457,0.022460085219980497,0.2120246162534012,0.7513253375429949,2.7564302685049555,9.767620092862648,4.237,56597.33333,32765.33333,2.452884423,1.1237505700059458,3.9820955285436406,OS Native,PSTR
PSTR14_3,5,3,5,0.07475,0.6493,0.003978643667539434,8.98403408799249e-4,-0.0014520509266386546,0.12474358283279516,-0.01887741714298823,1.6217314460841805,4.237,55576.66667,15685,1.195777814,-0.015786726365027065,1.356214697326857,NS Native,PSTR
PSTR318_3,5,3,5,0.07475,0.6493,0.008085630679192985,0.004492017043996117,0.03353614148570278,0.23481021869705854,0.43598727880528837,3.0526549492597317,4.237,53628,26056.66667,2.058665187,0.21178153764801017,1.4828321616047864,OS Native,PSTR
PSTR34_2,5,3,5,0.07475,0.6493,0.008085630679192985,0.005005390420452821,0.040561604805175136,0.2312094178345912,0.5273219553454905,3.0058426655563077,4.237,55982.66667,47643.33333,3.605844726,0.14624089371991736,0.8336029124833446,NS Native,PSTR
PSTR43_2,5,3,5,0.07475,0.6493,0.012192617690846556,0.007572257302736301,0.061498870578572076,0.3484776554237897,0.7995172982133655,4.530390736138712,4.237,55950.66667,27895,2.112416563,0.3784846759002455,2.1446483688353433,NS Native,PSTR
PSTR510_2,5,3,5,0.07475,0.6493,0.05172236767801223,0.04350839365470509,0.4167020637609737,1.3984169233533552,5.417343522633563,18.180147209481998,4.237,55965.66667,28437.66667,2.152934126,2.5162606961405762,8.444358324729347,Transplant to OS,PSTR
PSTR519_2,5,3,5,0.07475,0.6493,0.015272857949586742,0.011679244314389874,0.10706003901637684,0.42112542995020297,1.3918361806601254,5.474849583335972,4.237,57705.33333,40090,2.943598454,0.472834933979798,1.8599172641554773,OS Native,PSTR
PSTR55_2,5,3,5,0.07475,0.6493,0.004492017043996117,8.98403408799249e-4,-0.0032258072796341394,0.14165261307048657,-0.0419371721221287,1.8415576322216143,4.237,56627,30753.66667,2.301080503,-0.018224991288854832,0.8003012627418773,NS Native,PSTR
PSTR57_3,5,3,5,0.07475,0.6493,0.0399147800195082,0.03272755274911444,0.3099637301709534,1.0851260459982548,4.029689679809587,14.107202886092756,4.237,54735,27838,2.154921093,1.8699940767666832,6.546505545803183,Transplant to OS,PSTR
PSTR625_2,5,3,5,0.07475,0.6493,0.011165870937933168,0.00757225730273628,0.06504638328456284,0.3146595949484063,0.8456368081716439,4.090738363863837,4.237,54892.66667,21936.66667,1.693225385,0.49942365361575525,2.4159443864372707,Transplant to NS,PSTR
PSTR64_2,5,3,5,0.07475,0.6493,0.02143333846706709,0.01629960470250015,0.1490041326556808,0.5916265850402994,1.9371312097722413,7.691453263654439,4.237,55796,32717.33333,2.484467369,0.7796967808645191,3.0958157710681684,NS Native,PSTR
PSTR68_3,5,3,5,0.07475,0.6493,0.030674059243287644,0.02400020534935059,0.22245846809384479,0.8419771163817444,2.8920757682507126,10.94614035857702,4.237,53300,24731,1.965952101,1.4710815013141119,5.5678570973367885,Transplant to OS,PSTR
PSTRF30_2,5,3,5,0.07475,0.6493,0.0717439293598234,0.061476461830689465,0.5934167821756764,1.9318410724369834,7.714726757354088,25.114938539222354,4.237,56597.33333,20755.66667,1.553814544,4.965024164012515,16.163408069645637,na,PSTR
PSTRF46_2,5,3,5,0.07475,0.6493,0.011165870937933168,0.009112377432106394,0.08612277324297991,0.3038571923610043,1.1196408377922504,3.950301512753566,4.237,56224,31182.33333,2.349878101,0.4764676249869229,1.6810665672710852,na,PSTR
PSTRS14_3,5,3,5,0.07475,0.6493,0.017326351455413537,0.012705991067303262,0.11401594024333911,0.48155994917603606,1.4822665138239615,6.260529760478889,4.237,55433.33333,30552.66667,2.335267264,0.6347309948947931,2.6808622109297415,na,PSTR
SSID118_3,5,3,5,0.07475,0.6493,0.009625750808563076,0.006545510549822892,0.05631672570460502,0.27113410596026516,0.7321467200286664,3.5248843728583616,4.237,55709.33333,19120,1.454180748,0.5034771097304243,2.423965781218252,OS Native,SSID
SSID123_2,5,3,5,0.07475,0.6493,0.03016068586683096,0.025540325478720684,0.24530861440525706,0.8142656835566512,3.189139552850456,10.585877321329319,4.237,55664,30867.66667,2.349567111,1.3573306920750714,4.5054585892734345,Transplant to NS,SSID
SSID15_3,5,3,5,0.07475,0.6493,0.005518763796909504,0.0019251501617126368,0.007277606653319238,0.1682690718209356,0.09461267099999009,2.1875854370896466,4.237,56853,18716.33333,1.394844675,0.0678302557236275,1.5683362286124414,NS Native,SSID
SSID418_2,5,3,5,0.07475,0.6493,0.03016068586683096,0.02656707223163407,0.25935954104420145,0.8070640818317167,3.371808905930856,10.492252753922475,4.237,54004,26612.33333,2.087927863,1.6149068009879113,5.0251988777269725,OS Native,SSID
SSID42_3,5,3,5,0.07475,0.6493,0.010652497561476485,0.008085630679192985,0.07384560295703067,0.2941497638482476,0.9600312396909865,3.8240998940229796,4.237,56368,28210.33333,2.120479391,0.45274254669282304,1.8034129028811579,NS Native,SSID
SSID423_3,5,3,5,0.07475,0.6493,0.025540325478720684,0.0204065917141537,0.19101778838749417,0.6980924200420969,2.483330582260715,9.075564483126586,4.237,55944,32427,2.455905888,1.0111668343623086,3.695404016689497,Transplant to NS,SSID
SSID517_2,5,3,5,0.07475,0.6493,0.016812978078956833,0.013219364443759965,0.122815159915807,0.4610501180758767,1.5966609453433047,5.993891290638023,4.237,55338.33333,28690,2.196660482,0.726858318992286,2.728638011997533,OS Native,SSID
SSID518_3,5,3,5,0.07475,0.6493,0.01886647158478363,0.014246111196673353,0.12977106114276926,0.52148463730171,1.6870912785071408,6.779571467780942,4.237,57986.66667,28233.33333,2.062967924,0.817798114493195,3.286319379428675,OS Native,SSID
SSID524_3,6,3,5,0.074909,0.6445,0.012036720972329966,0.00841634341867081,0.0735887434186709,0.3374224495991723,0.9566919321200065,4.386667311481699,4.237,56448,39401,2.957448218,0.32348560705045165,1.4832609020110656,Transplant to NS,SSID
SSID54_3,6,3,5,0.074909,0.6445,0.022380656839927588,0.017725885699508656,0.1652495657615722,0.6128245701060253,2.1483302881119632,7.967038092902045,4.237,57985.33333,31335.66667,2.289703482,0.9382569861122144,3.479506475634579,NS Native,SSID
SSID615_2,6,3,5,0.074909,0.6445,0.023932247220067236,0.0192774760796483,0.18112202503232477,0.6530466026894234,2.3546805126407278,8.489945432779816,4.237,55440,32022.66667,2.447331145,0.962142175753959,3.4690627993376086,OS Native,SSID
SSID617_3,6,3,5,0.074909,0.6445,0.04513731574864237,0.03944815102146366,0.3838900622704938,1.2100029512800625,4.990770440334033,15.730667593344545,4.237,55212,27527.66667,2.112488656,2.3625075695242135,7.4465098539892685,OS Native,SSID
SSID624_3,6,3,5,0.074909,0.6445,0.05444685802948022,0.046688906128782015,0.45081367230411196,1.4658456200155159,5.860812172440354,19.056755330414923,4.237,56201.33333,23658,1.783568824,3.2860028127741896,10.684620113327862,Transplant to NS,SSID
SSIDF18_2,6,3,5,0.074909,0.6445,0.0115195241789501,0.00789914662529092,0.06829792366175325,0.32401510540470685,0.88790852394375,4.212364864855783,4.237,56153,22356.33333,1.686887332,0.5263591154549911,2.4971228279137874,NS Native,SSID
SSIDF20_2,6,3,5,0.074909,0.6445,0.03220739591414532,0.03013860874062581,0.3011640731316267,0.8494260182570464,3.915289562293639,11.042979956539865,4.237,55313.33333,42104,3.225165385,1.2139810195481304,3.424004241115798,na,SSID
SSIDF3_3,6,3,5,0.074909,0.6445,0.01100232738557021,0.00789914662529092,0.0700848903025601,0.3069801429014741,0.9111400195340627,3.990901493778914,4.237,55583.66667,22941.66667,1.748784265,0.5210133907134981,2.28210052757932,NS Native,SSID
SSIDS23_2,6,3,5,0.074909,0.6445,0.05548125161623999,0.04720610292216188,0.4543175254202223,1.4962879267132148,5.906364085026292,19.452521148117718,4.237,56871.66667,42808.33333,3.189266624,1.85195055207347,6.099371247838863,na,SSID
SSIDS5_2,6,3,5,0.074909,0.6445,0.05444685802948022,0.04875769330230153,0.47912481789500916,1.45133514678045,6.22887178750662,18.868111632611157,4.237,53813,48015,3.780490867,1.6476357189164503,4.990915808661615,na,SSID
